%time,field.stamp,field.reference_magenc,field.measure_magenc
1718603839892831030,1718603839893766298,3795,34866
1718603840095412925,1718603840095766298,3797,34860
1718603840195585660,1718603840196766298,3796,34876
1718603840297577417,1718603840297766298,3797,34866
1718603840398095671,1718603840398766298,3794,34859
1718603840498759344,1718603840499766298,3796,34871
1718603840600559793,1718603840600766298,3796,34860
1718603840700739821,1718603840701766298,3795,34859
1718603840803028798,1718603840802766298,3797,34858
1718603840903944994,1718603840903766298,3795,34854
1718603841004183181,1718603841004766298,3795,34863
1718603841205351763,1718603841208131340,3796,34870
1718603841307138248,1718603841309131340,3796,34863
1718603841407327046,1718603841410131340,3796,34852
1718603841509412093,1718603841511131340,3798,34856
1718603841610805198,1718603841612131340,3795,34855
1718603841711072125,1718603841713131340,3797,34856
1718603841811827315,1718603841814131340,3794,34859
1718603841913204047,1718603841915131340,3796,34863
1718603842012197030,1718603842016131340,3795,34858
1718603842114849524,1718603842117131340,3796,34860
1718603842216397393,1718603842218131340,3795,34857
1718603842418190810,1718603842420131340,2622,32537
1718603842519067473,1718603842521131340,2044,31406
1718603842619962748,1718603842622131340,2057,31426
1718603842720844290,1718603842723131340,2061,31434
1718603842823076346,1718603842824131340,1843,31034
1718603842922621552,1718603842925131340,1198,29833
1718603843023159297,1718603843026131340,732,28855
1718603843125431476,1718603843127131340,721,28826
1718603843225486171,1718603843228131340,721,28828
1718603843326781152,1718603843329131340,271,27632
1718603843533238392,1718603843531131340,15531,22398
1718603843629909699,1718603843632131340,15531,22418
1718603843730771784,1718603843733131340,15531,22395
1718603843832648373,1718603843834131340,15344,21027
1718603843933465762,1718603843935131340,14606,14396
1718603844033488477,1718603844036131340,13969,9284
1718603844134691435,1718603844137131340,13911,8916
1718603844236049796,1718603844238131340,13908,8914
1718603844337405180,1718603844339131340,13725,7824
1718603844438475040,1718603844440131340,12401,3248
1718603844538971022,1718603844541131340,11716,1884
1718603844740430349,1718603844743131340,11434,1335
1718603844841600415,1718603844844131340,11434,1341
1718603844942659836,1718603844945131340,10361,64723
1718603845043613294,1718603845046131340,9468,62951
1718603845144407852,1718603845147131340,8874,61673
1718603845245530845,1718603845248131340,7965,58949
1718603845346694875,1718603845349131340,7964,58941
1718603845448611583,1718603845450131340,7965,58944
1718603845548847812,1718603845551131340,7629,57443
1718603845650528675,1718603845652131340,6453,48053
1718603845855941366,1718603845854131340,5287,39278
1718603845953408081,1718603845955131340,5286,39304
1718603846054284616,1718603846056131340,5214,38952
1718603846154889020,1718603846156662561,3987,35250
1718603846255832881,1718603846257662561,2962,33230
1718603846357257188,1718603846358662561,2963,33230
1718603846457880659,1718603846459662561,2962,33230
1718603846558952365,1718603846560662561,2962,33230
1718603846660154642,1718603846661662561,2696,32683
1718603846761215222,1718603846762662561,1610,30600
1718603846969452370,1718603846964662561,1108,29669
1718603847064185828,1718603847065662561,1002,29455
1718603847165473290,1718603847166662561,97,27072
1718603847266739400,1718603847267662561,15764,23877
1718603847366641695,1718603847368662561,15698,23502
1718603847467719408,1718603847469662561,15697,23501
1718603847568802395,1718603847570662561,14925,17331
1718603847670461137,1718603847671662561,14030,9678
1718603847770738423,1718603847772662561,13490,6668
1718603847872332910,1718603847873662561,13489,6693
1718603847973129539,1718603847974662561,13393,6243
1718603848180786152,1718603848176662561,11655,1766
1718603848275779574,1718603848277662561,11656,1761
1718603848377673335,1718603848378662561,11644,1735
1718603848478435609,1718603848479662561,10609,65242
1718603848578335876,1718603848580662561,10409,64821
1718603848680425145,1718603848681874134,10408,64822
1718603848781465450,1718603848782874134,10406,64816
1718603848882300018,1718603848883874134,9775,63540
1718603848983152636,1718603848984874134,8786,61476
1718603849084194441,1718603849085874134,8602,60992
1718603849291494702,1718603849287874134,8032,59213
1718603849385323256,1718603849388874134,6912,52496
1718603849488012835,1718603849489874134,6803,51507
1718603849589449968,1718603849590874134,6804,51507
1718603849691037622,1718603849691874134,5989,43699
1718603849791772549,1718603849792874134,5166,38739
1718603849892048564,1718603849893874134,5164,38725
1718603849993243426,1718603849994874134,5162,38726
1718603850095058769,1718603850095874134,4480,36421
1718603850194927061,1718603850196874134,3536,34327
1718603850295750504,1718603850297874134,3529,34323
1718603850498491189,1718603850499874134,3329,33915
1718603850598530780,1718603850600874134,2243,31785
1718603850699725678,1718603850701874134,1776,30899
1718603850801400214,1718603850802874134,1774,30906
1718603850902497986,1718603850903874134,1772,30900
1718603851002634551,1718603851004874134,650,28652
1718603851103815274,1718603851105874134,16274,26342
1718603851205001720,1718603851206027605,16219,26124
1718603851306472557,1718603851307027605,16220,26116
1718603851407350723,1718603851408027605,15608,22920
1718603851614789767,1718603851610027605,15064,18686
1718603851710773887,1718603851711027605,15065,18656
1718603851810906325,1718603851812027605,15068,18689
1718603851912358555,1718603851913027605,15064,18679
1718603852012629742,1718603852014027605,15064,18695
1718603852114289615,1718603852115027605,15066,18671
