%time,field.stamp,field.reference_magenc,field.measure_magenc
1718603639205775838,1718603639207450893,9415,62843
1718603639306942616,1718603639308450893,9202,62416
1718603639407435398,1718603639409450893,9200,62400
1718603639617254737,1718603639611450893,9202,62403
1718603639711578781,1718603639712450893,8996,61968
1718603639811718008,1718603639813450893,8555,60885
1718603639913700101,1718603639914450893,8206,59825
1718603640014029464,1718603640015450893,8143,59602
1718603640114268107,1718603640116450893,8142,59596
1718603640216082101,1718603640217450893,8142,59603
1718603640316328177,1718603640318450893,8017,59146
1718603640418075891,1718603640419450893,7551,57021
1718603640519243505,1718603640520450893,7362,55923
1718603640619943858,1718603640621450893,7339,55767
1718603640822327232,1718603640823450893,7338,55751
1718603640922363921,1718603640924450893,7340,55747
1718603641024093247,1718603641025450893,6958,52899
1718603641124541409,1718603641126450893,6682,50329
1718603641225362037,1718603641227450893,6682,50324
1718603641326918305,1718603641328450893,6680,50335
1718603641427274792,1718603641429450893,6683,50303
1718603641529011180,1718603641530450893,6681,50342
1718603641630262273,1718603641630606033,6680,50330
1718603641730324560,1718603641731606033,6681,50324
1718603641971918739,1718603641933606033,6148,45099
1718603642034519619,1718603642034606033,6009,43894
1718603642134408523,1718603642135606033,6013,43917
1718603642235886189,1718603642236606033,6011,43914
1718603642337495656,1718603642337606033,6011,43935
1718603642437344343,1718603642438606033,6012,43927
1718603642539524174,1718603642539606033,6012,43901
1718603642640236732,1718603642640606033,5817,42376
1718603642740549190,1718603642741606033,5397,39834
1718603642842786817,1718603642842606033,5182,38818
1718603642942361430,1718603642943606033,5161,38729
1718603643145245449,1718603643145606033,5164,38736
1718603643246386606,1718603643246606033,5164,38738
1718603643346486608,1718603643347606033,5015,38137
1718603643447831385,1718603643448606033,4574,36682
1718603643549357828,1718603643549606033,4280,35926
1718603643650457593,1718603643650606033,4098,35512
1718603643750510323,1718603643751606033,4097,35510
1718603643851831978,1718603643852606033,4097,35494
1718603643953562914,1718603643953606033,3994,35276
1718603644053372945,1718603644054606033,3468,34193
